workload	category	backend	sample	elapsed_ns	user_cpu_ns	system_cpu_ns	voluntary_context_switches	involuntary_context_switches	operations	byte_count
syscall-baseline	microbaseline	kvm	14	67232432	1907000	16071000	14	3	0	0
syscall-baseline	microbaseline	ptrace	14	67086621	4206000	44320000	287	138	0	0
syscall-loop	syscall	kvm	14	317389365	78002000	78394000	14	4	10000	0
syscall-loop	syscall	ptrace	14	10244444723	43814000	5498165000	47639	14603	10000	0
pipe-baseline	microbaseline	kvm	14	66869213	2661000	16791000	14	4	0	0
pipe-baseline	microbaseline	ptrace	14	116951714	4086000	48779000	386	91	0	0
pipe-roundtrip	boundary	kvm	14	418255911	64674000	26248000	13	30	2000	0
pipe-roundtrip	boundary	ptrace	14	2527140279	17520000	1147471000	10177	2790	2000	0
echo	application	ptrace	15	170810647	3744000	57102000	397	103	0	0
echo	application	kvm	15	118311410	1793000	21101000	13	4	0	0
ls-64	application	ptrace	15	216873570	2647000	81693000	553	267	0	0
ls-64	application	kvm	15	167222511	1783000	17999000	13	13	0	0
true	application	ptrace	15	116775278	2940000	45431000	361	83	0	0
true	application	kvm	15	116861719	2861000	14378000	11	4	0	0
pwd	application	ptrace	15	116876621	4240000	50748000	379	107	0	0
pwd	application	kvm	15	116675988	4254000	13451000	14	5	0	0
seq-10	application	ptrace	15	116821317	2473000	50970000	386	98	0	0
seq-10	application	kvm	15	166630086	3237000	13913000	13	6	0	0
head-readme	application	ptrace	15	116650308	2854000	52347000	387	120	0	0
head-readme	application	kvm	15	116570548	3531000	14746000	12	7	0	0
base64-readme	application	ptrace	15	166811951	4097000	55366000	435	123	0	0
base64-readme	application	kvm	15	116448934	1922000	15742000	13	3	0	0
id-u	application	ptrace	15	166686160	293000	70480000	510	169	0	0
id-u	application	kvm	15	117052847	1781000	17647000	13	4	0	0
printf	application	ptrace	15	116864733	1498000	50951000	380	101	0	0
printf	application	kvm	15	166589704	2645000	15016000	13	5	0	0
cat-stream	throughput	ptrace	15	467582800	1675000	197010000	1699	426	0	16777216
cat-stream	throughput	kvm	15	217390112	10332000	17513000	13	10	0	16777216
syscall-baseline	microbaseline	ptrace	15	167011662	2514000	47145000	350	87	0	0
syscall-baseline	microbaseline	kvm	15	168581315	3169000	13643000	12	18	0	0
syscall-loop	syscall	ptrace	15	11084974669	67548000	5431520000	47170	15222	10000	0
syscall-loop	syscall	kvm	15	819117431	73366000	83876000	13	51	10000	0
pipe-baseline	microbaseline	ptrace	15	167288992	2915000	49753000	368	102	0	0
pipe-baseline	microbaseline	kvm	15	219667736	1876000	22940000	13	8	0	0
pipe-roundtrip	boundary	ptrace	15	2231833400	25595000	1122772000	9836	3106	2000	0
pipe-roundtrip	boundary	kvm	15	418416023	58564000	29424000	12	60	2000	0
