workload	category	backend	sample	elapsed_ns	user_cpu_ns	system_cpu_ns	voluntary_context_switches	involuntary_context_switches	operations	byte_count
syscall-loop	syscall	ptrace	3	5686240463	35125000	5342465000	40389	20157	10000	0
syscall-loop	syscall	kvm	3	217105762	74015000	71737000	14	4	10000	0
pipe-baseline	microbaseline	ptrace	3	66787239	3751000	48588000	310	153	0	0
pipe-baseline	microbaseline	kvm	3	116902020	1809000	15393000	14	6	0	0
pipe-roundtrip	boundary	ptrace	3	1219974200	20281000	1116305000	8330	4154	2000	0
pipe-roundtrip	boundary	kvm	3	267169788	52441000	30930000	13	5	2000	0
echo	application	kvm	4	167020998	5544000	11821000	14	3	0	0
echo	application	ptrace	4	66703313	3319000	48700000	318	153	0	0
ls-64	application	kvm	4	116688267	2943000	15585000	15	2	0	0
ls-64	application	ptrace	4	117006688	2446000	79629000	548	266	0	0
true	application	kvm	4	217779391	3181000	13629000	13	2	0	0
true	application	ptrace	4	69167167	1405000	45922000	290	141	0	0
pwd	application	kvm	4	116910293	3151000	13514000	14	3	0	0
pwd	application	ptrace	4	67719299	2426000	55868000	333	160	0	0
seq-10	application	kvm	4	117834310	3098000	15460000	14	2	0	0
seq-10	application	ptrace	4	67032049	907000	50677000	322	153	0	0
head-readme	application	kvm	4	116547544	3082000	12133000	14	4	0	0
head-readme	application	ptrace	4	66643291	2087000	52435000	344	165	0	0
base64-readme	application	kvm	4	267632518	5197000	12472000	13	6	0	0
base64-readme	application	ptrace	4	117823784	1294000	59956000	367	182	0	0
id-u	application	kvm	4	116762439	5082000	12916000	14	4	0	0
id-u	application	ptrace	4	116876081	2404000	66433000	448	217	0	0
printf	application	kvm	4	66553496	1066000	14658000	14	2	0	0
printf	application	ptrace	4	113293735	4218000	48107000	316	154	0	0
cat-stream	throughput	kvm	4	66774249	9611000	17080000	13	4	0	16777216
cat-stream	throughput	ptrace	4	217263822	4754000	191117000	1372	682	0	16777216
syscall-baseline	microbaseline	kvm	4	224494485	2034000	15131000	15	7	0	0
syscall-baseline	microbaseline	ptrace	4	66722331	2667000	47217000	291	138	0	0
syscall-loop	syscall	kvm	4	217012242	89755000	55755000	13	5	10000	0
syscall-loop	syscall	ptrace	4	5680866897	39055000	5388041000	40412	20173	10000	0
pipe-baseline	microbaseline	kvm	4	117436217	1073000	18243000	14	3	0	0
pipe-baseline	microbaseline	ptrace	4	67327705	203000	52367000	309	149	0	0
pipe-roundtrip	boundary	kvm	4	166650818	55770000	28258000	12	7	2000	0
pipe-roundtrip	boundary	ptrace	4	1269343103	16138000	1102403000	8324	4154	2000	0
echo	application	ptrace	5	66554107	2468000	47934000	325	152	0	0
echo	application	kvm	5	116199247	2137000	13532000	13	4	0	0
ls-64	application	ptrace	5	117461466	1464000	82310000	543	268	0	0
ls-64	application	kvm	5	118244500	6046000	14047000	14	5	0	0
true	application	ptrace	5	66889022	1326000	46538000	289	137	0	0
true	application	kvm	5	67748192	3051000	14251000	15	3	0	0
pwd	application	ptrace	5	66553817	1688000	50169000	330	151	0	0
pwd	application	kvm	5	66194923	3017000	11155000	14	3	0	0
seq-10	application	ptrace	5	66243717	3978000	46296000	316	154	0	0
seq-10	application	kvm	5	66331951	1996000	14378000	14	3	0	0
head-readme	application	ptrace	5	66328957	2773000	50866000	347	165	0	0
