run	outcome	exit_status	raw_stdout_sha256	semantic_stdout_sha256	stderr_sha256	stdout_lines	stdout_bytes	known_failures	last_completed_test
1	known_lock4_stall	143	f3fd7e3bc2539aaa7b047902a0ce105e216b50e3472c3d202731903f09e80dc1	c69dd97aacfdb56210db135cfc86708bb3af7bf75681fdfd2f05b7312a47ef78	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	714	21058	13	lock3.test
2	known_lock4_stall	143	31048c55dfc613b1372dd878bdded02c08137ae4c119c70d22a1f702ccdb9194	c69dd97aacfdb56210db135cfc86708bb3af7bf75681fdfd2f05b7312a47ef78	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	714	21071	13	lock3.test
