run	exit_code	stdout_sha256	stderr_sha256	fingerprint_sha256
run-0001	0	c0f9e7189a494cef0298e5013704146fd35a60fd6fafa4ea9c45159c2ff19199	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1d69feb2e7c22f3b870293568349710eeb688432aaf45b0002acebedc04f5b7b
run-0002	0	4417f5b6eba1f0efc64acd0f1a7cf84f157d992cdd4c071b32a45e72670d5f1a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ce7c753aebc78abb04bcbc8581e664d1cecac73cfa122278800424f73691e84e
run-0003	0	a37fcd3f82bfa87182942b42d236e0292d471123f26872e1fbdc7bbead3689d7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7060ebf4ad322b4134cb9a9e9760494677469877930f2976a349a0a91ef78c17
run-0004	0	d8feddf893ea984ca06b6326704b59c0b58018dc9d75395901f5a4061b487720	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a9028d9e7f2ca5e19f276c93b2e0bb49651c7d2f7ec9dd524c0714b579b60f80
run-0005	0	01f87b13cf9a06bd3633eaee239262b67aac06469b6aaed5ced292e246345923	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6894f5304d6bfa720877c8220134eaec174438b9fed56131ce2306c2dc673c87
