run	exit_code	stdout_sha256	stderr_sha256	fingerprint_sha256
run-0001	134	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	149d5b971159d80f4fd731c6c9381171bf234d93136b8d17e6069ae03ab24448	f36037989916d047f4781cfc7eead519405007d32960239a5608f8d4c7fc7fef
run-0002	134	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	149d5b971159d80f4fd731c6c9381171bf234d93136b8d17e6069ae03ab24448	f36037989916d047f4781cfc7eead519405007d32960239a5608f8d4c7fc7fef
run-0003	134	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	149d5b971159d80f4fd731c6c9381171bf234d93136b8d17e6069ae03ab24448	f36037989916d047f4781cfc7eead519405007d32960239a5608f8d4c7fc7fef
