run	exit_code	stdout_sha256	stderr_sha256	fingerprint_sha256
run-0001	124	c97bc82144a9d5b60437712908afe42b34833c4f28b1dc47b36f3804a26ef16d	db81b260ad4285b7ce3712c62d399abc681884a7043f1a3f310131d92083eed9	d25d6cec23e6969986d0a547281f84d0f1915f7341de95f4da38a42e59e87dfb
run-0002	124	d7a4e554868ae253a81041bc13ca75e44c17b0a312673b0623629ce8bf605eb7	db81b260ad4285b7ce3712c62d399abc681884a7043f1a3f310131d92083eed9	34104d4007f8b4aec8aa3303e81a489e826b76f8c0835cb51d95500fbcfd9829
run-0003	124	7f0d658af1f08374796d6a1d83019113e1534fb2ccb22b53c1f2314d8321059b	db81b260ad4285b7ce3712c62d399abc681884a7043f1a3f310131d92083eed9	1ef9eb1ff7210458534ef31349ecc7aa5387692211e1e62ec73d7515c508321c
