run	exit_code	stdout_sha256	stderr_sha256	fingerprint_sha256
run-0001	0	3baaa2fde48da64b0aa8c5aa816c0fbb2927bcd42ddc0d795b73fe347fa74fcd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e12f6b880e932e1247d425ef75ad7878c632f09341ad9a8258fd0286e9ff79f4
run-0002	0	3baaa2fde48da64b0aa8c5aa816c0fbb2927bcd42ddc0d795b73fe347fa74fcd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e12f6b880e932e1247d425ef75ad7878c632f09341ad9a8258fd0286e9ff79f4
run-0003	0	3baaa2fde48da64b0aa8c5aa816c0fbb2927bcd42ddc0d795b73fe347fa74fcd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e12f6b880e932e1247d425ef75ad7878c632f09341ad9a8258fd0286e9ff79f4
run-0004	0	3baaa2fde48da64b0aa8c5aa816c0fbb2927bcd42ddc0d795b73fe347fa74fcd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e12f6b880e932e1247d425ef75ad7878c632f09341ad9a8258fd0286e9ff79f4
run-0005	0	3baaa2fde48da64b0aa8c5aa816c0fbb2927bcd42ddc0d795b73fe347fa74fcd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e12f6b880e932e1247d425ef75ad7878c632f09341ad9a8258fd0286e9ff79f4
